substrate,composition_index,group_index,Well,n_measurements,Voc_mean,Jsc_mAcm2_mean,FF_pct_mean,PCE_pct_mean,Voc_max,Jsc_mAcm2_max,FF_pct_max,PCE_pct_max
5,10,9,E10,12,0.95391314,21.32912752,70.35893389,14.30638343,0.971307939,22.14905161,72.37317858,15.18186906
5,11,9,E11,8,0.936420607,21.01571597,68.28411144,13.43166553,0.968650366,22.19708239,70.70249964,14.42423317
6,1,1,F1,20,0.980388451,20.96897461,72.82444832,14.96618016,1.00036433,23.12470677,74.66340084,16.73787804
6,2,1,F2,10,0.98760563,19.81233931,72.68360458,14.22704818,1.002814806,20.38954447,74.02705737,15.13589934
6,3,2,F3,16,0.983480219,21.2310934,72.99036659,15.23709871,0.998348952,24.05583011,74.48546308,17.34774009
6,4,3,F4,14,0.981794719,20.6351545,72.42542429,14.66908745,1.000906043,24.08981692,73.88957333,17.2032317
6,5,4,F5,12,1.001352078,19.03680785,68.57902371,13.01424546,1.144403663,19.72315542,73.4662234,14.01311773
6,6,5,F6,14,0.980735315,18.91676109,72.038901,13.36647027,0.998743139,23.40339381,73.27078482,16.59396509
6,7,6,F7,12,0.967445919,20.3579124,71.57748434,14.10579338,1.000025154,23.5349761,74.34484221,16.29195455
6,8,7,F8,18,0.980708431,21.14480956,72.59045278,15.038677,0.999919285,23.87194383,74.14734487,17.07616397
6,9,8,F9,18,0.979797468,20.96905615,72.84247704,14.96033518,1.000259358,24.50023752,73.95536352,17.49554085
6,10,9,F10,24,0.976669134,20.86849008,72.50666606,14.76904558,0.998938123,24.00005318,73.66107355,17.0587233
6,11,9,F11,23,0.972424527,20.46147402,71.72151656,14.3392591,0.987801998,24.25108896,73.41180136,17.37443499
